Country Name,GDP at market prices (constant 2005 US$),GDP at market prices (current US$),GDP per capita (constant 2005 US$),GDP per capita (current US$),Internet users (per 100 people),Population growth (annual %),"Population, total"
Luxembourg,53212476812.2957,53212476812.2957,104965.30607826699,104965.30607826699,90.62,1.8254058035237,506953.0
"Macao SAR, China",28123640998.7253,28123640998.7253,52374.7944457228,52374.7944457228,55.198,2.1946089306474,536969.0
"Macedonia, FYR",9407168702.4313,9407168702.4313,4542.9041044918295,4542.9041044918295,51.9,0.07952013930695,2070739.0
Madagascar,8729936135.744871,8729936135.744871,412.730934137725,412.730934137725,1.7,2.7926473239622496,21151640.0
Malawi,6959697194.02096,6959697194.02096,458.868174427665,458.868174427665,2.26,3.02879445593096,15167095.0
Malaysia,255016609232.871,255016609232.871,9071.35698672103,9071.35698672103,56.3,1.81960217613464,28112289.0
Maldives,2588176058.41146,2588176058.41146,7052.2508403582,7052.2508403582,26.53,1.92578166044145,367000.0
Mali,10678749467.4697,10678749467.4697,708.370763247419,708.370763247419,2.0,3.15701050954501,15075085.0
Malta,8741059602.64901,8741059602.64901,21087.794693103602,21087.794693103602,63.0,0.49118281065151,414508.0
Marshall Islands,164969100.0,164969100.0,3146.76394849785,3146.76394849785,7.0,0.20048696390402698,52425.0
Mauritania,4343665075.37898,4343665075.37898,1203.38366252431,1203.38366252431,4.0,2.9023243513658703,3609543.0
Mauritius,10003670690.3497,10003670690.3497,8000.376431821541,8000.376431821541,28.33,0.23788669289018502,1250400.0
Mexico,1051128603513.77,1051128603513.77,8959.5814158753,8959.5814158753,31.05,1.5580424467853897,117318941.0
"Micronesia, Fed. Sts.",296525300.0,296525300.0,2861.77134805435,2861.77134805435,20.0,-0.331445171811962,103616.0
Middle East & North Africa,2767962267741.37,2767962267741.37,7127.014831703821,7127.014831703821,24.852629196697997,2.15246674443969,388376106.0
Middle East & North Africa (excluding high income),1383517142400.36,1383517142400.36,4122.74486943978,4122.74486943978,20.6189163555238,1.84911277824853,335581557.0
Middle income,20458605049763.3,20458605049763.3,3918.41908191851,3918.4190819185205,21.8918464800554,1.1783857676165501,5221137561.362229
Moldova,5811604051.96737,5811604051.96737,1631.5358317953198,1631.5358317953198,32.3,-0.0998646340688359,3562045.0
Monaco,5350674803.33858,5350674803.33858,144246.368774966,144246.368774966,75.0,1.52118976126033,37094.0
Mongolia,7189481824.07288,7189481824.07288,2650.3536483043804,2650.3536483043804,10.2,1.64885738501064,2712650.0
Montenegro,4139192052.9801297,4139192052.9801297,6682.28115774575,6682.28115774575,37.5,0.18323990642509602,619428.0
Morocco,93216746661.5977,93216746661.5977,2834.20471989688,2834.20471989688,52.0,1.3035744353864198,32409639.0
Mozambique,10154238250.1818,10154238250.1818,419.225814942685,419.225814942685,4.17,2.9212891641512297,24221405.0
Myanmar,49540813342.4834,49540813342.4834,987.73658320217,987.73658320217,0.25,0.710723543924855,50155896.0
Namibia,11282192605.0374,11282192605.0374,5191.58308141444,5191.58308141444,11.6,1.67652370814964,2173170.0
Nauru,,,,,,,
Nepal,16002656434.4746,16002656434.4746,592.1835216420141,592.1835216420141,7.93,1.04916050907034,27023137.0
Netherlands,836389937229.197,836389937229.197,50338.2548273724,50338.2548273724,90.72,0.5129231005535859,16615394.0
New Caledonia,,,,,42.0,2.02027073175195,250000.0
New Zealand,146580949348.893,146580949348.893,33691.3483689734,33691.3483689734,80.46,1.1117260560214999,4350700.0
Nicaragua,8758622328.66963,8758622328.66963,1526.4979380617801,1526.4979380617801,10.0,1.2476504106978898,5737723.0
Niger,5718589799.24366,5718589799.24366,348.151510969273,348.151510969273,0.83,3.7949631831068795,16425578.0
Nigeria,369062464570.387,369062464570.387,2327.3206695739104,2327.3206695739104,11.5,2.6687468571641,158578261.0
North America,16583580836811.1,16583580836811.1,48289.700299920994,48289.700299920994,72.5404836415795,0.867298728703787,343418591.0
Northern Mariana Islands,799000000.0,799000000.0,14681.023078053799,14681.023078053799,,-2.27080185563376,54424.0
Norway,429130952709.224,429130952709.224,87770.26684434009,87770.26684434009,93.39,1.24566617956207,4889252.0
OECD members,38837703215141.3,44271376427985.1,31313.6293217581,35694.6306363832,67.6192889359741,0.6281008295581361,1240281119.0
Oman,58641621846.554,58641621846.554,19280.7473537557,19280.7473537557,35.8278,5.35263627653983,3041460.0
Pakistan,177406854514.885,177406854514.885,1040.14226787636,1040.14226787636,8.0,2.0797553467776497,170560182.0
Palau,183335100.0,183335100.0,8956.28236443576,8956.28236443576,,0.627268546979374,20470.0
Panama,28917200000.0,28917200000.0,7937.259930907309,7937.259930907309,40.1,1.76774570105356,3643222.0
Papua New Guinea,14250726289.853998,14250726289.853998,2004.8181117508898,2004.8181117508898,1.28,2.28802798506389,7108239.0
Paraguay,20030528042.9171,20030528042.9171,3225.59175373637,3225.59175373637,19.8,1.3299256118131202,6209877.0
